casinoCode,departingAt,arrivingAt,departingAirport
ATL,2/1/2022,2/4/2022,SFB
ATL,2/3/2022,2/6/2022,LBE
ATL,2/4/2022,2/7/2022,ALB
ATL,2/4/2022,2/7/2022,BDL
ATL,2/5/2022,2/8/2022,PGV
ATL,2/8/2022,2/11/2022,BUF
ATL,2/11/2022,2/14/2022,FAY
ATL,2/11/2022,2/14/2022,ILM
ATL,2/12/2022,2/15/2022,CLT
ATL,2/13/2022,2/16/2022,CMH
ATL,2/16/2022,2/19/2022,RIC
ATL,2/16/2022,2/19/2022,ORF
ATL,2/18/2022,2/21/2022,GSO
ATL,2/20/2022,2/23/2022,BOS
ATL,2/23/2022,2/26/2022,MHT
ATL,2/23/2022,2/26/2022,PWM
ATL,2/23/2022,2/26/2022,PIT
ATL,2/25/2022,2/28/2022,BFM
ATL,3/1/2022,3/4/2022,SYR
ATL,3/1/2022,3/4/2022,ROC
ATL,3/2/2022,3/5/2022,LBE
ATL,3/5/2022,3/8/2022,CAK
ATL,3/7/2022,3/10/2022,ALB
ATL,3/7/2022,3/10/2022,BDL
ATL,3/10/2022,3/13/2022,PGV
ATL,3/12/2022,3/15/2022,DTW
ATL,3/14/2022,3/17/2022,CRW
ATL,3/14/2022,3/17/2022,ROA
ATL,3/16/2022,3/19/2022,PBI
ATL,3/17/2022,3/20/2022,MCN
ATL,3/17/2022,3/20/2022,AGS
ATL,3/18/2022,3/21/2022,IND
ATL,3/20/2022,3/23/2022,BOS
ATL,3/20/2022,3/23/2022,PVD
ATL,3/21/2022,3/24/2022,RFD
ATL,3/21/2022,3/24/2022,CVG
ATL,3/22/2022,3/25/2022,CHS
ATL,3/22/2022,3/25/2022,MYR
ATL,3/23/2022,3/26/2022,RIC
ATL,3/23/2022,3/26/2022,ORF
ATL,3/25/2022,3/28/2022,CLE
ATL,3/26/2022,3/29/2022,FAY
ATL,3/26/2022,3/29/2022,ILM
ATL,3/28/2022,3/31/2022,BNA
ATL,3/29/2022,4/1/2022,GSP
ATL,3/29/2022,4/1/2022,TRI
ATL,3/30/2022,4/2/2022,PWM
HAC,3/30/2022,4/2/2022,MHT
ATL,4/1/2022,4/4/2022,RDU
ATL,4/2/2022,4/5/2022,LBE
ATL,4/3/2022,4/6/2022,CVG
ATL,4/3/2022,4/6/2022,DAY
ATL,4/6/2022,4/9/2022,BUF
ATL,4/7/2022,4/10/2022,CLT
ATL,4/9/2022,4/12/2022,PIT
ATL,4/9/2022,4/12/2022,DTW
ATL,4/11/2022,4/14/2022,PBI
ATL,4/15/2022,4/18/2022,FAY
ATL,4/15/2022,4/18/2022,ILM
ATL,4/18/2022,4/21/2022,SFB
ATL,4/21/2022,4/24/2022,HOU
ATL,4/21/2022,4/24/2022,DFW
ATL,4/22/2022,4/25/2022,MDW
ATL,4/22/2022,4/25/2022,IND
ATL,4/23/2022,4/26/2022,FLL
ATL,4/25/2022,4/28/2022,BOS
GBI,2/1/2022,2/4/2022,MDT
GBI,2/2/2022,2/5/2022,AGS
GBI,2/2/2022,2/5/2022,MCN
GBI,2/3/2022,2/6/2022,DTW
GBI,2/5/2022,2/8/2022,PIE
GBI,2/6/2022,2/9/2022,TOL
GBI,2/6/2022,2/9/2022,SBN
GBI,2/9/2022,2/12/2022,RSW
GBI,2/10/2022,2/13/2022,PIA
GBI,2/11/2022,2/14/2022,CAK
GBI,2/12/2022,2/15/2022,ACY
GBI,2/15/2022,2/18/2022,CHS
GBI,2/15/2022,2/18/2022,MYR
