gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,7/25/2002,7/28/2022,CHA
HARRAH'S ATLANTIC CITY NJ,ATL,6/8/2022,6/11/2022,PBI
HARRAH'S ATLANTIC CITY NJ,ATL,6/10/2022,6/13/2022,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,6/10/2022,6/13/2022,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,6/13/2022,6/16/2022,SAV
HARRAH'S ATLANTIC CITY NJ,ATL,6/13/2022,6/16/2022,ROA
HARRAH'S ATLANTIC CITY NJ,ATL,6/16/2022,6/19/2022,BUF
HARRAH'S ATLANTIC CITY NJ,ATL,6/18/2022,6/21/2022,RDU
HARRAH'S ATLANTIC CITY NJ,ATL,6/20/2022,6/23/2022,CLT
HARRAH'S ATLANTIC CITY NJ,ATL,6/21/2022,6/24/2022,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,6/21/2022,6/24/2022,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,6/22/2022,6/25/2022,DTW
HARRAH'S ATLANTIC CITY NJ,ATL,6/24/2022,6/27/2022,AVL
HARRAH'S ATLANTIC CITY NJ,ATL,6/25/2022,6/28/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,6/25/2022,6/28/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,6/26/2022,6/29/2022,DAY
HARRAH'S ATLANTIC CITY NJ,ATL,6/28/2022,7/1/2022,MKE
HARRAH'S ATLANTIC CITY NJ,ATL,6/29/2022,7/2/2022,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,7/1/2022,7/4/2022,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,7/2/2022,7/2/2022,MDW
HARRAH'S ATLANTIC CITY NJ,ATL,7/5/2022,7/8/2022,PBI
HARRAH'S ATLANTIC CITY NJ,ATL,7/7/2022,7/10/2022,CLE
HARRAH'S ATLANTIC CITY NJ,ATL,7/8/2022,7/10/2022,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,7/10/2022,7/13/2022,BUF
HARRAH'S ATLANTIC CITY NJ,ATL,7/11/2022,7/14/2022,CAE
HARRAH'S ATLANTIC CITY NJ,ATL,7/13/2022,7/16/2022,PIT
HARRAH'S ATLANTIC CITY NJ,ATL,7/14/2022,7/17/2022,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,7/14/2022,7/17/2022,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,7/16/2022,7/19/2022,BNA
HARRAH'S ATLANTIC CITY NJ,ATL,7/17/2022,7/20/2022,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,7/17/2022,7/20/2022,AGS
HARRAH'S ATLANTIC CITY NJ,ATL,7/19/2022,7/22/2022,PVD
HARRAH'S ATLANTIC CITY NJ,ATL,7/19/2022,7/22/2022,BOS
HARRAH'S ATLANTIC CITY NJ,ATL,7/20/2022,7/23/2022,CMH
HARRAH'S ATLANTIC CITY NJ,ATL,7/22/2022,7/25/2022,MHT
HARRAH'S ATLANTIC CITY NJ,ATL,7/22/2022,7/25/2022,PWM
HARRAH'S ATLANTIC CITY NJ,ATL,7/23/2022,7/26/2022,CLT
HARRAH'S ATLANTIC CITY NJ,ATL,7/26/2022,7/29/2022,ALB
HARRAH'S ATLANTIC CITY NJ,ATL,7/26/2022,7/29/2022,BDL
HARRAH'S ATLANTIC CITY NJ,ATL,7/28/2022,7/31/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,7/28/2022,7/31/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,7/29/2022,8/1/2022,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,8/1/2022,8/4/2022,CHS
HARRAH'S ATLANTIC CITY NJ,ATL,8/1/2022,8/4/2022,MYR
HARRAH'S ATLANTIC CITY NJ,ATL,8/3/2022,8/6/2022,YYZ
HARRAH'S ATLANTIC CITY NJ,ATL,8/4/2022,8/7/2022,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,8/6/2022,8/9/2022,PIT
HARRAH'S ATLANTIC CITY NJ,ATL,8/7/2022,8/10/2022,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,8/7/2022,8/10/2022,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,8/9/2022,8/12/2022,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,8/9/2022,8/12/2022,AGS
HARRAH'S ATLANTIC CITY NJ,ATL,8/10/2022,8/13/2022,BUF
HARRAH'S ATLANTIC CITY NJ,ATL,8/12/2022,8/15/2022,CAK
HARRAH'S ATLANTIC CITY NJ,ATL,8/13/2022,8/16/2022,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,8/15/2022,8/18/2022,PVD
HARRAH'S ATLANTIC CITY NJ,ATL,8/15/2022,8/18/2022,ISP
HARRAH'S ATLANTIC CITY NJ,ATL,8/16/2022,8/19/2022,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,8/18/2022,8/21/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,8/19/2022,8/22/2022,BOS
HARRAH'S ATLANTIC CITY NJ,ATL,8/21/2022,8/24/2022,JAX
HARRAH'S ATLANTIC CITY NJ,ATL,8/21/2022,8/25/2022,SAV
HARRAH'S ATLANTIC CITY NJ,ATL,8/22/2022,8/25/2022,IND
HARRAH'S ATLANTIC CITY NJ,ATL,8/24/2022,8/27/2022,RDU
HARRAH'S ATLANTIC CITY NJ,ATL,8/25/2022,8/28/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,8/27/2022,8/30/2022,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,8/27/2022,8/30/2022,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,8/28/2022,8/31/2022,MKE
HARRAH'S GULF COAST BILOXI MS,GBI,6/7/2022,6/10/2022,MYR
HARRAH'S GULF COAST BILOXI MS,GBI,6/7/2022,6/10/2022,CHS
HARRAH'S GULF COAST BILOXI MS,GBI,6/11/2022,6/14/2022,RSW
HARRAH'S GULF COAST BILOXI MS,GBI,6/12/2022,6/15/2022,DTW
HARRAH'S GULF COAST BILOXI MS,GBI,6/14/2022,6/17/2022,IAH
HARRAH'S GULF COAST BILOXI MS,GBI,6/15/2022,6/18/2022,PIE
HARRAH'S GULF COAST BILOXI MS,GBI,6/16/2022,6/19/2022,GSO
HARRAH'S GULF COAST BILOXI MS,GBI,6/18/2022,6/21/2022,CMH
HARRAH'S GULF COAST BILOXI MS,GBI,6/19/2022,6/22/2022,CLE
HARRAH'S GULF COAST BILOXI MS,GBI,6/20/2022,6/23/2022,ICT
HARRAH'S GULF COAST BILOXI MS,GBI,6/20/2022,6/23/2022,OKC
HARRAH'S GULF COAST BILOXI MS,GBI,6/22/2022,6/25/2022,CAE
HARRAH'S GULF COAST BILOXI MS,GBI,6/23/2022,6/26/2022,PIT
HARRAH'S GULF COAST BILOXI MS,GBI,6/24/2022,6/27/2022,GRB
