gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S ATLANTIC CITY NJ,ATL,9/1/2022,9/4/2022,BNA
HARRAH'S ATLANTIC CITY NJ,ATL,9/2/2022,9/5/2022,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,9/3/2022,9/6/2022,AVL
HARRAH'S ATLANTIC CITY NJ,ATL,9/5/2022,9/8/2022,BUF
HARRAH'S ATLANTIC CITY NJ,ATL,9/6/2022,9/9/2022,RFD
HARRAH'S ATLANTIC CITY NJ,ATL,9/6/2022,9/9/2022,TOL
HARRAH'S ATLANTIC CITY NJ,ATL,9/8/2022,9/11/2022,SFB
HARRAH'S ATLANTIC CITY NJ,ATL,9/9/2022,9/12/2022,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,9/11/2022,9/14/2022,DTW
HARRAH'S ATLANTIC CITY NJ,ATL,9/12/2022,9/15/2022,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,9/12/2022,9/15/2022,AGS
HARRAH'S ATLANTIC CITY NJ,ATL,9/14/2022,9/17/2022,CLE
HARRAH'S ATLANTIC CITY NJ,ATL,9/15/2022,9/18/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,9/15/2022,9/18/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,9/17/2022,9/20/2022,YYZ
HARRAH'S ATLANTIC CITY NJ,ATL,9/18/2022,9/21/2022,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,9/18/2022,9/21/2022,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,9/20/2022,9/23/2022,PIT
HARRAH'S ATLANTIC CITY NJ,ATL,9/21/2022,9/24/2022,CMH
HARRAH'S ATLANTIC CITY NJ,ATL,9/23/2022,9/26/2022,CLT
HARRAH'S ATLANTIC CITY NJ,ATL,9/24/2022,9/27/2022,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,9/24/2022,9/27/2022,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,9/26/2022,9/29/2022,MDW
HARRAH'S ATLANTIC CITY NJ,ATL,9/27/2022,9/30/2022,CHA
HARRAH'S ATLANTIC CITY NJ,ATL,9/29/2022,10/2/2022,PGV
HARRAH'S ATLANTIC CITY NJ,ATL,9/29/2022,10/2/2022,OAJ
HARRAH'S ATLANTIC CITY NJ,ATL,9/30/2022,10/3/2022,CAK
HARRAH'S ATLANTIC CITY NJ,ATL,10/2/2022,10/5/2022,ALB
HARRAH'S ATLANTIC CITY NJ,ATL,10/2/2022,10/5/2022,BDL
HARRAH'S ATLANTIC CITY NJ,ATL,10/3/2022,10/6/2022,IND
HARRAH'S ATLANTIC CITY NJ,ATL,10/5/2022,10/8/2022,GSO
HARRAH'S ATLANTIC CITY NJ,ATL,10/6/2022,10/9/2022,LBE
HARRAH'S ATLANTIC CITY NJ,ATL,10/6/2022,10/9/2022,CLE
HARRAH'S ATLANTIC CITY NJ,ATL,10/8/2022,10/11/2022,GRR
HARRAH'S ATLANTIC CITY NJ,ATL,10/9/2022,10/12/2022,MCN
HARRAH'S ATLANTIC CITY NJ,ATL,10/11/2022,10/14/2022,MKE
HARRAH'S ATLANTIC CITY NJ,ATL,10/12/2022,10/15/2022,BFM
HARRAH'S ATLANTIC CITY NJ,ATL,10/14/2022,10/17/2022,CMH
HARRAH'S ATLANTIC CITY NJ,ATL,10/15/2022,10/18/2022,YYZ
HARRAH'S ATLANTIC CITY NJ,ATL,10/17/2022,10/20/2022,ROC
HARRAH'S ATLANTIC CITY NJ,ATL,10/17/2022,10/20/2022,SYR
HARRAH'S ATLANTIC CITY NJ,ATL,10/18/2022,10/21/2022,BOS
HARRAH'S ATLANTIC CITY NJ,ATL,10/18/2022,10/21/2022,PVD
HARRAH'S ATLANTIC CITY NJ,ATL,10/20/2022,10/23/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,10/20/2022,10/23/2022,ILM
HARRAH'S ATLANTIC CITY NJ,ATL,10/21/2022,10/24/2022,PIT
HARRAH'S ATLANTIC CITY NJ,ATL,10/23/2022,10/26/2022,FWA
HARRAH'S ATLANTIC CITY NJ,ATL,10/23/2022,10/26/2022,CVG
HARRAH'S ATLANTIC CITY NJ,ATL,10/24/2022,10/27/2022,GSP
HARRAH'S ATLANTIC CITY NJ,ATL,10/26/2022,10/29/2022,RIC
HARRAH'S ATLANTIC CITY NJ,ATL,10/26/2022,10/29/2022,ORF
HARRAH'S ATLANTIC CITY NJ,ATL,10/27/2022,10/30/2022,CLT
HARRAH'S ATLANTIC CITY NJ,ATL,10/29/2022,11/1/2022,SPI
HARRAH'S ATLANTIC CITY NJ,ATL,10/30/2022,11/2/2022,MHT
HARRAH'S ATLANTIC CITY NJ,ATL,10/30/2022,11/2/2022,PWM
