gamingresort,casinocode,departingat,arrivingat,departingairport
HARRAH'S GULF COAST BILOXI MS,GBI,10/20/2022,10/23/2022,IND
HARRAH'S GULF COAST BILOXI MS,GBI,10/24/2022,10/28/2022,ABE
HARRAH'S GULF COAST BILOXI MS,GBI,10/28/2022,10/31/2022,CLE
HARRAH'S LAUGHLIN NV,LAU,10/8/2022,10/12/2022,YYC
HARRAH'S LAUGHLIN NV,LAU,10/14/2022,10/18/2022,MSN
HARRAH'S LAUGHLIN NV,LAU,10/14/2022,10/18/2022,GRI
HARRAH'S LAUGHLIN NV,LAU,10/22/2022,10/26/2022,BMI
HARVEYS LAKE TAHOE NV,HLT,10/14/2022,10/18/2022,MCI
HARVEYS LAKE TAHOE NV,HLT,10/22/2022,10/26/2022,DTW
HARVEYS LAKE TAHOE NV,HLT,10/28/2022,11/1/2022,CAE
HARRAHS LAKE TAHOE NV,TAH,10/14/2022,10/18/2022,MCI
HARRAHS LAKE TAHOE NV,TAH,10/22/2022,10/26/2022,DTW
HARRAHS LAKE TAHOE NV,TAH,10/28/2022,11/1/2022,CAE
SILVER LEGACY RENO NV,TRW,10/14/2022,10/18/2022,MCI
SILVER LEGACY RENO NV,TRW,10/22/2022,10/26/2022,DTW
SILVER LEGACY RENO NV,TRW,10/28/2022,11/1/2022,CAE
HARRAH'S ATLANTIC CITY NJ,ATL,10/21/2022,10/24/2022,PIT
TROPICANA ATLANTIC CITY,TAC,10/21/2022,10/24/2022,PIT
HARRAH'S LAUGHLIN NV,LAU,10/21/2022,10/25/2022,GRB
HARRAH'S GULF COAST BILOXI MS,GBI,10/22/2022,10/25/2022,BWI
HARRAH'S GULF COAST BILOXI MS,GBI,10/26/2022,10/29/2022,MDW
HARRAH'S ATLANTIC CITY NJ,ATL,10/6/2022,10/9/2022,LBE
TROPICANA ATLANTIC CITY,TAC,10/6/2022,10/9/2022,LBE
HARRAH'S LAUGHLIN NV,LAU,10/2/2022,10/6/2022,EVV
HARRAH'S LAUGHLIN NV,LAU,10/2/2022,10/6/2022,COS
HARRAH'S LAUGHLIN NV,LAU,10/19/2022,10/23/2022,SAT
HARRAH'S LAUGHLIN NV,LAU,10/16/2022,10/20/2022,BLI
HARRAH'S LAUGHLIN NV,LAU,10/25/2022,10/29/2022,MKE
HARVEYS LAKE TAHOE NV,HLT,10/24/2022,10/28/2022,TRI
HARVEYS LAKE TAHOE NV,HLT,10/24/2022,10/28/2022,ICT
HARRAHS LAKE TAHOE NV,TAH,10/24/2022,10/28/2022,TRI
HARRAHS LAKE TAHOE NV,TAH,10/24/2022,10/28/2022,ICT
SILVER LEGACY RENO NV,TRW,10/24/2022,10/28/2022,TRI
SILVER LEGACY RENO NV,TRW,10/24/2022,10/28/2022,ICT
HARRAH'S LAUGHLIN NV,LAU,10/7/2022,10/11/2022,IAH
HARRAH'S LAUGHLIN NV,LAU,10/11/2022,10/15/2022,LIT
HARRAH'S LAUGHLIN NV,LAU,10/11/2022,10/15/2022,SGF
HARRAH'S LAUGHLIN NV,LAU,10/12/2022,10/16/2022,GTF
HARRAH'S LAUGHLIN NV,LAU,10/12/2022,10/16/2022,BIL
HARRAH'S LAUGHLIN NV,LAU,11/11/2022,11/15/2022,MDW
HARVEYS LAKE TAHOE NV,HLT,10/12/2022,10/16/2022,MEM
HARRAHS LAKE TAHOE NV,TAH,10/12/2022,10/16/2022,MEM
SILVER LEGACY RENO NV,TRW,10/12/2022,10/16/2022,MEM
HARVEYS LAKE TAHOE NV,HLT,10/16/2022,10/20/2022,CHA
HARRAHS LAKE TAHOE NV,TAH,10/16/2022,10/20/2022,CHA
SILVER LEGACY RENO NV,TRW,10/16/2022,10/20/2022,CHA
HARRAH'S ATLANTIC CITY NJ,ATL,10/20/2022,10/23/2022,FAY
HARRAH'S ATLANTIC CITY NJ,ATL,10/20/2022,10/23/2022,ILM
TROPICANA ATLANTIC CITY,TAC,10/20/2022,10/23/2022,FAY
TROPICANA ATLANTIC CITY,TAC,10/20/2022,10/23/2022,ILM
HARRAH'S GULF COAST BILOXI MS,GBI,10/2/2022,10/5/2022,MYR
HARRAH'S GULF COAST BILOXI MS,GBI,10/2/2022,10/5/2022,CHS
HARRAH'S GULF COAST BILOXI MS,GBI,10/16/2022,10/19/2022,PIE
